1@NodeId:78	1.957263,1.0,13,19,34,82
1@NodeId:79	1.086635,1.0,0,26,43,74,90
1@NodeId:74	0.461667,1.0,35,54,84
1@NodeId:75	0.46875,1.0,29,34,37,51,54,65,85,91
1@NodeId:76	0.745,1.0,9
1@NodeId:77	0.752083,1.0,0,5,32,37,40,41,44,69,79,83,85,86,87
1@NodeId:70	1.100179,1.0,20,63,99
1@NodeId:71	1.44625,1.0,15,16,45,84,97
1@NodeId:72	1.822679,1.0,10,49,51,92,93,95
1@NodeId:73	0.7025,1.0,41,50,51,84,92
1@NodeId:41	1.108897,1.0,44,45,49,66
1@NodeId:40	0.792172,1.0,7,71,72,73
1@NodeId:43	0.823929,1.0,4,21,24,56,67,68,80,86,90
1@NodeId:42	0.696429,1.0,36,45,70,89,99
1@NodeId:45	1.651667,1.0,18,53,58,83,86,90
1@NodeId:44	0.739552,1.0,17,37,38
1@NodeId:47	0.5325,1.0,5,14,52,70,73
1@NodeId:46	0.802679,1.0,78
1@NodeId:49	1.008096,1.0,2,29,31,39,84
1@NodeId:48	0.15,1.0,18,39,61,79,89
1@NodeId:56	0.626944,1.0,29,36,80,96,98
1@NodeId:57	0.775358,1.0,86,94,96,98
1@NodeId:54	0.873512,1.0,12,69,77
1@NodeId:55	0.655954,1.0,10,19,22,25,51,58,62
1@NodeId:52	1.056667,1.0,27,31,64,91
1@NodeId:53	0.709584,1.0,2,13,65,78,95
1@NodeId:50	0.917025,1.0,0,20,46,68
1@NodeId:51	0.932204,1.0,38,45,61,71
1@NodeId:58	0.959525,1.0,16,38,71,73,78
1@NodeId:59	0.575,1.0,10,24,69,92
1@NodeId:23	0.674167,1.0,92,99
1@NodeId:22	1.030358,1.0,25,65,72,83,97
1@NodeId:21	2.256111,1.01@NodeId:20	1.240833,1.0,7,94
1@NodeId:27	1.412858,1.0,32,68,70,92
1@NodeId:26	0.915001,1.0,15,23,28,64
1@NodeId:25	0.894762,1.0,63
1@NodeId:24	1.365636,1.0,9,10,18,38,55,93,94
1@NodeId:29	0.823929,1.0,18,23,31,36,86
1@NodeId:28	0.954466,1.0,21,25,72
1@NodeId:0	0.810385,1.0,1,15,66,96
1@NodeId:1	1.200358,1.0,37,72
1@NodeId:2	1.213513,1.0,31,63
1@NodeId:3	0.590179,1.0,30,42,45,86
1@NodeId:4	0.72004,1.0,24,42,46,86
1@NodeId:5	0.633302,1.0,2,9,24,50,61,81,98
1@NodeId:6	0.810775,1.0,15,22,58,80
1@NodeId:7	1.0,1.0,12,21,38,57,93
1@NodeId:8	0.397917,1.0,13,41,59,87
1@NodeId:9	1.837858,1.0,33,39,41,43,51,69,80
1@NodeId:30	1.0,1.0,80,84,95
1@NodeId:31	2.127263,1.0,29,36,46,49,54,62,70,85
1@NodeId:32	1.124077,1.0,2,3,6,27,47,69,71,91
1@NodeId:33	0.945358,1.0,2,56,58,86
1@NodeId:34	0.7875,1.0,0,7,77,78
1@NodeId:35	0.724762,1.0,12,18,62,64,65,66,83,91
1@NodeId:36	0.93625,1.0,12,20,30,34,61,75,77,99
1@NodeId:37	1.412468,1.0,40,59,71,97
1@NodeId:38	1.370358,1.0,30,41,98
1@NodeId:39	1.221608,1.0,31,43,68,71,92
1@NodeId:89	0.823929,1.0,16,32,35,38,40,57,58
1@NodeId:88	1.121429,1.0,21,26,44,50,55,82
1@NodeId:85	0.670743,1.0,32,54,57,64,69,90,99
1@NodeId:84	1.226666,1.0,9,21
1@NodeId:87	0.640385,1.0,8,19,20,27,30,47,54,63
1@NodeId:86	1.471496,1.0,11,60,71,95
1@NodeId:81	0.704525,1.0,5,21,26,78,93,96
1@NodeId:80	1.385873,1.0,31,79
1@NodeId:83	1.199969,1.0,1,4,10,18,27,29,70
1@NodeId:82	0.504167,1.0,2,23,24,32,52,53
1@NodeId:18	1.257025,1.0,52,61,62,87
1@NodeId:19	0.853275,1.0,27,33,37,45,92
1@NodeId:12	1.248929,1.0,24,28,50,55,67,85,98
1@NodeId:13	0.992917,1.0,25,32,33,35,76
1@NodeId:10	0.868454,1.0,4,6,38,67,78,80
1@NodeId:11	0.575,1.0,6,28,40,49,51,67,89
1@NodeId:16	0.611429,1.0,45,52,67,80
1@NodeId:17	0.645833,1.0,18,39,41,53,63,72,79,99
1@NodeId:14	0.49,1.0,36,39,44,62,98
1@NodeId:15	1.27625,1.0,47,70,79,95,97
1@NodeId:92	1.757917,1.0,22,34,39,57
1@NodeId:93	0.894763,1.0,15,43,66,75
1@NodeId:90	0.89004,1.0,1,26,52,93,96
1@NodeId:91	0.89375,1.0,12,24,66,81,95
1@NodeId:96	1.056667,1.0,12,13,24,31,60,74
1@NodeId:97	0.8725,1.0,37,50,62,89
1@NodeId:94	1.015179,1.0,4,17,20,90
1@NodeId:95	1.2975,1.0,76,88
1@NodeId:98	1.370358,1.0,5,13,15,28,49,66,92,94
1@NodeId:99	1.532262,1.0,1,83
1@NodeId:69	1.060326,1.0,12,22,42,46,55,72,88
1@NodeId:68	0.839444,1.0,1,6,19,28,40,81,85
1@NodeId:67	0.841469,1.0,2,26,30,31,32,45
1@NodeId:66	1.17,1.0,8,19,72,81,83,98
1@NodeId:65	1.085,1.0,27,88
1@NodeId:64	1.015179,1.0,3,27,28,31,33,39,78
1@NodeId:63	1.920833,1.0,3,64,65,72
1@NodeId:62	1.078929,1.0,11,22,33,91
1@NodeId:61	0.972679,1.0,6,9,18,20,99
1@NodeId:60	0.504167,1.0,14,49,53,56,65
